mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,doc
 511,+1, 1379, 5319,511.26520,    NaN,563.23984,    NaN,    NaN,-0.09045
 511,+1, 1395, 5319,511.26811,    NaN,563.39740,    NaN,    NaN, 0.33481
 511,+1, 1410, 5319,511.27102,    NaN,563.40563,    NaN,    NaN, 0.06871
 511,+1, 1426, 5319,511.27394,    NaN,563.42234,    NaN,    NaN,-0.20211
 511,+1, 1441, 5319,511.27685,    NaN,563.47478,    NaN,    NaN, 0.06345
 511,+1, 1457, 5319,511.27977,    NaN,563.48547,    NaN,    NaN, 0.00336
 511,+1, 1472, 5319,511.28268,    NaN,563.51599,    NaN,    NaN,-0.51726
 511,+1, 1488, 5319,511.28560,    NaN,563.51169,    NaN,    NaN,-0.32604
 511,+1, 1503, 5319,511.28851,    NaN,563.62296,    NaN,    NaN,-0.01378
 511,+1, 1519, 5319,511.29142,    NaN,563.82081,    NaN,    NaN, 0.74391
 511,+1, 1534, 5319,511.29434,    NaN,563.78534,    NaN,    NaN, 1.29011
 511,+1, 1550, 5319,511.29725,    NaN,563.88249,    NaN,    NaN,-0.71615
 511,+1, 1565, 5319,511.30017,    NaN,563.84808,    NaN,    NaN,-0.80900
 511,+1, 1581, 5319,511.30308,    NaN,563.80011,    NaN,    NaN, 0.06572
 511,+1, 1596, 5319,511.30600,    NaN,563.90889,    NaN,    NaN, 0.31530
 511,+1, 1612, 5319,511.30891,    NaN,563.85222,    NaN,    NaN, 0.02109
 511,+1, 1627, 5319,511.31182,    NaN,563.84424,    NaN,    NaN,-0.12861
 511,+1, 1643, 5319,511.31474,    NaN,563.84600,    NaN,    NaN, 0.31183
 511,+1, 1658, 5319,511.31765,    NaN,563.84989,    NaN,    NaN, 0.16975
 511,+1, 1674, 5319,511.32057,    NaN,563.85876,    NaN,    NaN,-0.02588
 511,+1, 1689, 5319,511.32348,    NaN,563.84516,    NaN,    NaN,-0.17848
 511,+1, 1705, 5319,511.32640,    NaN,563.90330,    NaN,    NaN,-0.13277
 511,+1, 1720, 5319,511.32931,    NaN,563.87318,    NaN,    NaN, 0.00256
 511,+1, 1736, 5319,511.33222,    NaN,563.85834,    NaN,    NaN,-0.14102
 511,+1, 1751, 5319,511.33514,    NaN,563.85808,    NaN,    NaN,-0.01344
 511,+1, 1767, 5319,511.33805,    NaN,563.85577,    NaN,    NaN, 0.10271
 511,+1, 1782, 5319,511.34097,    NaN,563.79433,    NaN,    NaN,-0.00149
 511,+1, 1798, 5319,511.34388,    NaN,563.84732,    NaN,    NaN, 0.06674
 511,+1, 1813, 5319,511.34680,    NaN,563.82453,    NaN,    NaN,-0.02388
 511,+1, 1829, 5319,511.34971,    NaN,563.82079,    NaN,    NaN,-0.18637
 511,+1, 1844, 5319,511.35262,    NaN,563.82810,    NaN,    NaN, 0.06518
 511,+1, 1860, 5319,511.35554,    NaN,563.84347,    NaN,    NaN, 0.05158
 511,+1, 1875, 5319,511.35845,    NaN,563.82585,    NaN,    NaN, 0.17338
 511,+1, 1891, 5319,511.36137,    NaN,563.80997,    NaN,    NaN, 0.32211
 511,+1, 1906, 5319,511.36428,    NaN,563.81033,    NaN,    NaN, 0.11650
 511,+1, 1922, 5319,511.36720,    NaN,563.84588,    NaN,    NaN,-0.29368
 511,+1, 1937, 5319,511.37011,    NaN,563.82661,    NaN,    NaN,-0.41833
 511,+1, 1953, 5319,511.37302,    NaN,563.82571,    NaN,    NaN, 0.05221
 511,+1, 1968, 5319,511.37594,    NaN,563.82329,    NaN,    NaN, 0.46735
 511,+1, 1984, 5319,511.37885,    NaN,563.85410,    NaN,    NaN, 0.23426
 511,+1, 1999, 5319,511.38177,    NaN,563.84651,    NaN,    NaN,-0.08067
 511,+1, 2015, 5319,511.38468,    NaN,563.86648,    NaN,    NaN,-0.18242
 511,+1, 2030, 5319,511.38760,    NaN,563.87087,    NaN,    NaN,-0.17718
 511,+1, 2046, 5319,511.39051,    NaN,563.87130,    NaN,    NaN, 0.09926
 511,+1, 2061, 5319,511.39342,    NaN,563.88803,    NaN,    NaN,-0.14769
 511,+1, 2077, 5319,511.39634,    NaN,563.89343,    NaN,    NaN,-0.31898
 511,+1, 2092, 5319,511.39925,    NaN,563.86884,    NaN,    NaN, 0.02132
 511,+1, 2108, 5319,511.40217,    NaN,563.88991,    NaN,    NaN, 0.06745
 511,+1, 2123, 5319,511.40508,    NaN,563.87430,    NaN,    NaN, 0.10008
 511,+1, 2139, 5319,511.40800,    NaN,563.88242,    NaN,    NaN,-0.03031
 511,+1, 2154, 5319,511.41091,    NaN,563.86300,    NaN,    NaN,-0.18557
 511,+1, 2170, 5319,511.41382,    NaN,563.83592,    NaN,    NaN, 0.17920
 511,+1, 2185, 5319,511.41674,    NaN,563.81868,    NaN,    NaN, 0.27928
 511,+1, 2201, 5319,511.41965,    NaN,563.81854,    NaN,    NaN,-0.23160
 511,+1, 2216, 5319,511.42257,    NaN,563.80540,    NaN,    NaN,-0.33907
 511,+1, 2232, 5319,511.42548,    NaN,563.78407,    NaN,    NaN, 0.39030
 511,+1, 2247, 5319,511.42840,    NaN,563.76083,    NaN,    NaN, 0.33816
 511,+1, 2263, 5319,511.43131,    NaN,563.77166,    NaN,    NaN,-0.33058
 511,+1, 2278, 5319,511.43422,    NaN,563.76379,    NaN,    NaN,-0.38988
 511,+1, 2294, 5319,511.43714,    NaN,563.75958,    NaN,    NaN, 0.01188
 511,+1, 2309, 5319,511.44005,    NaN,563.73554,    NaN,    NaN, 0.17271
 511,+1, 2325, 5319,511.44297,    NaN,563.71792,    NaN,    NaN, 0.05400
 511,+1, 2340, 5319,511.44588,    NaN,563.70336,    NaN,    NaN,-0.08107
 511,+1, 2356, 5319,511.44880,    NaN,563.69605,    NaN,    NaN,-0.18770
 511,+1, 2371, 5319,511.45171,    NaN,563.68204,    NaN,    NaN,-0.12620
 511,+1, 2387, 5319,511.45462,    NaN,563.69498,    NaN,    NaN, 0.20475
 511,+1, 2402, 5319,511.45754,    NaN,563.67814,    NaN,    NaN, 0.16436
 511,+1, 2418, 5319,511.46045,    NaN,563.67518,    NaN,    NaN, 0.00268
 511,+1, 2433, 5319,511.46337,    NaN,563.65776,    NaN,    NaN,-0.04079
 511,+1, 2449, 5319,511.46628,    NaN,563.64808,    NaN,    NaN,-0.18021
 511,+1, 2464, 5319,511.46920,    NaN,563.65190,    NaN,    NaN, 0.11327
 511,+1, 2480, 5319,511.47211,    NaN,563.64682,    NaN,    NaN, 0.11681
 511,+1, 2495, 5319,511.47502,    NaN,563.60842,    NaN,    NaN,-0.11654
 511,+1, 2511, 5319,511.47794,    NaN,563.58156,    NaN,    NaN, 0.13421
 511,+1, 2526, 5319,511.48085,    NaN,563.56469,    NaN,    NaN, 0.05054
 511,+1, 2542, 5319,511.48377,    NaN,563.56458,    NaN,    NaN, 0.11353
 511,+1, 2557, 5319,511.48668,    NaN,563.53899,    NaN,    NaN,-0.07787
 511,+1, 2573, 5319,511.48960,    NaN,563.53359,    NaN,    NaN,-0.11948
 511,+1, 2588, 5319,511.49251,    NaN,563.49580,    NaN,    NaN, 0.27503
 511,+1, 2604, 5319,511.49542,    NaN,563.49413,    NaN,    NaN,-0.09753
 511,+1, 2619, 5319,511.49834,    NaN,563.48033,    NaN,    NaN,-0.08249
 511,+1, 2635, 5319,511.50125,    NaN,563.47913,    NaN,    NaN,-0.06132
 511,+1, 2650, 5319,511.50417,    NaN,563.44600,    NaN,    NaN,-0.21163
 511,+1, 2666, 5319,511.50708,    NaN,563.41319,    NaN,    NaN, 0.03848
 511,+1, 2681, 5319,511.51000,    NaN,563.40039,    NaN,    NaN, 0.17178
 511,+1, 2697, 5319,511.51291,    NaN,563.36883,    NaN,    NaN,-0.05176
 511,+1, 2712, 5319,511.51583,    NaN,563.37819,    NaN,    NaN, 0.05934
 511,+1, 2728, 5319,511.51874,    NaN,563.37827,    NaN,    NaN, 0.34309
 511,+1, 2743, 5319,511.52165,    NaN,563.35229,    NaN,    NaN,-0.06879
 511,+1, 2759, 5319,511.52457,    NaN,563.29913,    NaN,    NaN,-0.26830
 511,+1, 2774, 5319,511.52748,    NaN,563.27099,    NaN,    NaN, 0.08733
 511,+1, 2790, 5319,511.53040,    NaN,563.23000,    NaN,    NaN, 0.23180
 511,+1, 2805, 5319,511.53331,    NaN,563.23509,    NaN,    NaN, 0.14570
 511,+1, 2821, 5319,511.53623,    NaN,563.17254,    NaN,    NaN, 0.04197
 511,+1, 2836, 5319,511.53914,    NaN,563.10223,    NaN,    NaN,-0.08661
 511,+1, 2852, 5319,511.54205,    NaN,563.07610,    NaN,    NaN,-0.38888
 511,+1, 2867, 5319,511.54497,    NaN,562.98135,    NaN,    NaN,-0.11728
 511,+1, 2883, 5319,511.54788,    NaN,562.94905,    NaN,    NaN, 0.31663
 511,+1, 2898, 5319,511.55080,    NaN,562.91923,    NaN,    NaN, 0.13015
 511,+1, 2914, 5319,511.55371,    NaN,562.87769,    NaN,    NaN,-0.07839
 511,+1, 2929, 5319,511.55663,    NaN,562.87000,    NaN,    NaN, 0.04216
 511,+1, 2945, 5319,511.55954,    NaN,562.79693,    NaN,    NaN,-0.01203
 511,+1, 2960, 5319,511.56245,    NaN,562.77228,    NaN,    NaN,-0.12763
 511,+1, 2976, 5319,511.56537,    NaN,562.69198,    NaN,    NaN,-0.38931
 511,+1, 2991, 5319,511.56828,    NaN,562.70291,    NaN,    NaN,-0.06092
 511,+1, 3007, 5319,511.57120,    NaN,562.66143,    NaN,    NaN, 0.07773
 511,+1, 3022, 5319,511.57411,    NaN,562.64430,    NaN,    NaN, 0.25387
 511,+1, 3038, 5319,511.57703,    NaN,562.61944,    NaN,    NaN, 0.27663
 511,+1, 3053, 5319,511.57994,    NaN,562.57292,    NaN,    NaN,-0.16447
 511,+1, 3069, 5319,511.58285,    NaN,562.55745,    NaN,    NaN,-0.46240
