PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
6496_C,38.41679893,-82.37465383,465.916,13953237.13,1246693.791,567.436
6497_C,38.41679681,-82.37467641,465.947,13953236.46,1246687.311,567.468
6498_C,38.41679484,-82.37469884,465.998,13953235.83,1246680.875,567.518
6499_C,38.41679278,-82.37472134,466.018,13953235.18,1246674.421,567.538
6500_C,38.41679076,-82.37474372,466.036,13953234.54,1246667.998,567.557
6501_C,38.41678866,-82.37476605,466.066,13953233.87,1246661.592,567.587
6502_C,38.41678666,-82.37478838,466.099,13953233.24,1246655.183,567.619
6503_C,38.41678459,-82.37481081,466.113,13953232.58,1246648.749,567.633
6504_C,38.41678252,-82.37483301,466.175,13953231.92,1246642.379,567.696
6505_C,38.41678048,-82.37485523,466.159,13953231.27,1246636.004,567.679
6506_C,38.41677841,-82.37487739,466.192,13953230.61,1246629.643,567.712
6507_C,38.41677637,-82.37489957,466.187,13953229.97,1246623.28,567.707
6508_C,38.41677438,-82.37492172,466.197,13953229.34,1246616.926,567.717
6509_C,38.4167723,-82.37494377,466.251,13953228.67,1246610.599,567.772
6510_C,38.41677028,-82.37496582,466.256,13953228.03,1246604.271,567.776
6511_C,38.41676826,-82.37498786,466.339,13953227.39,1246597.947,567.859
6512_C,38.41676628,-82.37500986,466.334,13953226.76,1246591.635,567.855
6513_C,38.41676428,-82.37503183,466.382,13953226.13,1246585.332,567.902
6514_C,38.41676218,-82.37505376,466.387,13953225.46,1246579.038,567.907
6515_C,38.41676025,-82.37507562,466.45,13953224.85,1246572.768,567.971
6516_C,38.41675811,-82.37509735,466.51,13953224.16,1246566.53,568.03
6517_C,38.41675616,-82.37511929,466.556,13953223.55,1246560.235,568.076
6518_C,38.41675422,-82.37514118,466.472,13953222.93,1246553.957,567.992
6519_C,38.41675213,-82.375163,466.499,13953222.26,1246547.695,568.019
6520_C,38.41675015,-82.37518484,466.463,13953221.64,1246541.429,567.984
6521_C,38.41674818,-82.37520658,466.476,13953221.01,1246535.19,567.996
6522_C,38.41674619,-82.37522835,466.49,13953220.38,1246528.945,568.01
6523_C,38.4167441,-82.37524997,466.656,13953219.71,1246522.741,568.176
6524_C,38.41674206,-82.37527187,466.6,13953219.06,1246516.456,568.12
6525_C,38.41674,-82.37529352,466.7,13953218.41,1246510.243,568.22
6526_C,38.41673802,-82.37531534,466.664,13953217.78,1246503.983,568.184
6527_C,38.41673612,-82.3753372,466.698,13953217.18,1246497.712,568.218
6528_C,38.41673408,-82.37535892,466.745,13953216.53,1246491.478,568.265
6529_C,38.41673209,-82.37538079,466.749,13953215.9,1246485.205,568.269
6530_C,38.41673008,-82.3754026,466.768,13953215.26,1246478.946,568.288
6531_C,38.41672803,-82.3754244,466.842,13953214.61,1246472.691,568.362
6532_C,38.41672595,-82.37544624,466.834,13953213.94,1246466.424,568.354
6533_C,38.41672401,-82.37546805,466.935,13953213.33,1246460.168,568.455
6534_C,38.41672199,-82.37548991,466.904,13953212.69,1246453.893,568.423
6535_C,38.41672003,-82.37551169,466.947,13953212.07,1246447.644,568.467
6536_C,38.41671801,-82.37553359,466.97,13953211.43,1246441.362,568.489
6537_C,38.41671601,-82.37555545,466.942,13953210.79,1246435.089,568.462
6538_C,38.416714,-82.37557726,467.054,13953210.15,1246428.83,568.573
