PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5943_B,38.41845725,-82.35626033,459.96,13953762.83,1251971.106,561.524
5944_B,38.41845511,-82.35628416,459.964,13953762.15,1251964.269,561.529
5945_B,38.41845292,-82.35630796,459.97,13953761.46,1251957.441,561.535
5946_B,38.4184507,-82.35633177,460.003,13953760.75,1251950.608,561.568
5947_B,38.4184485,-82.35635564,459.986,13953760.05,1251943.76,561.551
5948_B,38.41844635,-82.35637943,459.981,13953759.37,1251936.934,561.546
5949_B,38.41844415,-82.3564033,459.995,13953758.67,1251930.086,561.56
5950_B,38.41844201,-82.35642712,460.014,13953757.99,1251923.253,561.579
5951_B,38.41843986,-82.35645096,459.998,13953757.3,1251916.411,561.562
5952_B,38.41843763,-82.35647481,460.026,13953756.59,1251909.569,561.59
5953_B,38.41843548,-82.35649865,460.016,13953755.91,1251902.73,561.58
5954_B,38.41843321,-82.35652248,460.021,13953755.18,1251895.891,561.585
5955_B,38.4184311,-82.35654632,460.033,13953754.52,1251889.052,561.598
5956_B,38.41842948,-82.35656418,459.998,13953754,1251883.928,561.562
5957_B,38.4184267,-82.35659398,460.07,13953753.12,1251875.378,561.634
5958_B,38.41842454,-82.35661785,460.037,13953752.43,1251868.528,561.601
5959_B,38.41842223,-82.35664168,460.055,13953751.69,1251861.691,561.619
5960_B,38.4184201,-82.35666554,460.073,13953751.02,1251854.846,561.637
5961_B,38.41841789,-82.35668936,460.051,13953750.31,1251848.011,561.615
5962_B,38.41841568,-82.35671323,460.062,13953749.61,1251841.162,561.625
5963_B,38.41841353,-82.35673715,460.07,13953748.93,1251834.299,561.634
5964_B,38.41841135,-82.356761,460.023,13953748.23,1251827.458,561.587
5965_B,38.41840915,-82.35678485,460.024,13953747.53,1251820.614,561.587
5966_B,38.41840694,-82.35680871,460.085,13953746.83,1251813.768,561.648
5967_B,38.41840476,-82.35683258,460.066,13953746.13,1251806.919,561.629
5968_B,38.41840258,-82.35685642,460.073,13953745.44,1251800.079,561.636
5969_B,38.41840044,-82.35688035,460.041,13953744.76,1251793.213,561.605
5970_B,38.41839814,-82.35690421,460.056,13953744.03,1251786.367,561.62
5971_B,38.41839607,-82.35692806,460.076,13953743.37,1251779.527,561.639
5972_B,38.41839381,-82.35695201,460.073,13953742.65,1251772.654,561.636
5973_B,38.41839155,-82.35697584,460.104,13953741.93,1251765.816,561.667
5974_B,38.41838931,-82.35699975,460.121,13953741.22,1251758.955,561.684
5975_B,38.4183871,-82.35702363,460.086,13953740.51,1251752.103,561.649
5976_B,38.41838546,-82.35704156,460.091,13953739.99,1251746.96,561.654
5977_B,38.4183827,-82.35707136,460.113,13953739.11,1251738.409,561.676
5978_B,38.41838052,-82.35709525,460.105,13953738.42,1251731.555,561.668
5979_B,38.41837822,-82.35711919,460.12,13953737.68,1251724.685,561.683
5980_B,38.41837606,-82.35714302,460.1,13953736.99,1251717.848,561.663
5981_B,38.41837392,-82.35716692,460.11,13953736.32,1251710.993,561.673
5982_B,38.41837173,-82.3571908,460.113,13953735.62,1251704.142,561.675
5983_B,38.41836956,-82.35721471,460.105,13953734.93,1251697.28,561.667
5984_B,38.41836731,-82.35723863,460.103,13953734.21,1251690.416,561.665
5985_B,38.41836513,-82.35726252,460.114,13953733.52,1251683.564,561.676
5986_B,38.41836293,-82.35728638,460.149,13953732.82,1251676.717,561.711
5987_B,38.41836077,-82.35731023,460.124,13953732.13,1251669.874,561.687
5988_B,38.41835856,-82.35733408,460.13,13953731.43,1251663.031,561.692
5989_B,38.41835634,-82.35735792,460.133,13953730.72,1251656.191,561.695
5990_B,38.41835415,-82.35738172,460.141,13953730.02,1251649.362,561.703
5991_B,38.41835194,-82.35740547,460.153,13953729.32,1251642.548,561.715
5992_B,38.41834977,-82.3574292,460.172,13953728.63,1251635.738,561.734
5993_B,38.41834755,-82.35745291,460.169,13953727.92,1251628.936,561.73
5994_B,38.41834539,-82.35747661,460.156,13953727.23,1251622.138,561.718
5995_B,38.41834323,-82.3575003,460.201,13953726.55,1251615.341,561.763
5996_B,38.41834157,-82.35751804,460.228,13953726.02,1251610.249,561.79
5997_B,38.41833884,-82.35754751,460.229,13953725.15,1251601.794,561.791
5998_B,38.41833671,-82.35757115,460.223,13953724.47,1251595.012,561.785
5999_B,38.41833446,-82.35759476,460.27,13953723.76,1251588.238,561.832
6000_B,38.41833233,-82.35761827,460.253,13953723.08,1251581.491,561.815
6001_B,38.41833011,-82.35764181,460.276,13953722.37,1251574.737,561.838
6002_B,38.41832802,-82.35766528,460.282,13953721.71,1251568.006,561.843
6003_B,38.41832585,-82.35768876,460.275,13953721.01,1251561.267,561.836
6004_B,38.41832371,-82.35771228,460.254,13953720.34,1251554.521,561.815
6005_B,38.41832153,-82.35773572,460.278,13953719.64,1251547.795,561.839
6006_B,38.41831989,-82.35775331,460.251,13953719.12,1251542.748,561.812
6007_B,38.41831722,-82.35778253,460.264,13953718.27,1251534.365,561.825
6008_B,38.41831506,-82.35780586,460.244,13953717.58,1251527.669,561.805
6009_B,38.41831295,-82.3578292,460.276,13953716.91,1251520.973,561.837
6010_B,38.41831079,-82.35785254,460.292,13953716.22,1251514.276,561.853
6011_B,38.4183092,-82.3578699,460.28,13953715.72,1251509.296,561.841
6012_B,38.41830655,-82.35789879,460.285,13953714.88,1251501.005,561.846
6013_B,38.4183044,-82.35792186,460.26,13953714.19,1251494.388,561.821
6014_B,38.41830228,-82.35794483,460.255,13953713.52,1251487.796,561.816
6015_B,38.41830021,-82.3579677,460.253,13953712.86,1251481.234,561.813
6016_B,38.4182981,-82.3579904,460.274,13953712.19,1251474.721,561.834
6017_B,38.418296,-82.35801318,460.248,13953711.52,1251468.186,561.809
6018_B,38.41829389,-82.35803577,460.249,13953710.84,1251461.705,561.81
6019_B,38.41829179,-82.3580583,460.249,13953710.17,1251455.241,561.81
6020_B,38.41828976,-82.35808075,460.223,13953709.53,1251448.798,561.784
6021_B,38.41828764,-82.35810309,460.265,13953708.85,1251442.388,561.825
6022_B,38.41828555,-82.35812536,460.237,13953708.19,1251435.999,561.797
6023_B,38.41828353,-82.35814754,460.215,13953707.54,1251429.636,561.775
6024_B,38.41828154,-82.35816963,460.22,13953706.91,1251423.298,561.78
6025_B,38.41827955,-82.35819164,460.231,13953706.28,1251416.982,561.791
6026_B,38.41827755,-82.35821353,460.25,13953705.65,1251410.703,561.81
6027_B,38.41827545,-82.35823534,460.256,13953704.97,1251404.444,561.816
6028_B,38.41827352,-82.35825708,460.254,13953704.36,1251398.208,561.814
6029_B,38.41827148,-82.35827878,460.271,13953703.71,1251391.981,561.83
6030_B,38.41826946,-82.35830035,460.245,13953703.07,1251385.793,561.805
6031_B,38.41826751,-82.35832186,460.261,13953702.45,1251379.621,561.821
6032_B,38.41826553,-82.35834327,460.264,13953701.82,1251373.478,561.823
6033_B,38.41826351,-82.35836464,460.26,13953701.17,1251367.346,561.819
6034_B,38.41826162,-82.35838589,460.224,13953700.57,1251361.249,561.783
6035_B,38.41825964,-82.35840705,460.266,13953699.94,1251355.178,561.825
6036_B,38.41825768,-82.35842818,460.217,13953699.32,1251349.114,561.776
6037_B,38.41825578,-82.35844921,460.224,13953698.72,1251343.082,561.782
6038_B,38.41825384,-82.35847015,460.224,13953698.1,1251337.074,561.782
6039_B,38.41825194,-82.35849095,460.229,13953697.49,1251331.106,561.788
6040_B,38.41825002,-82.3585117,460.259,13953696.88,1251325.152,561.818
6041_B,38.41824817,-82.35853245,460.219,13953696.3,1251319.199,561.777
6042_B,38.41824621,-82.35855308,460.21,13953695.67,1251313.28,561.769
6043_B,38.41824441,-82.3585736,460.229,13953695.1,1251307.393,561.788
6044_B,38.41824247,-82.35859405,460.216,13953694.48,1251301.526,561.775
6045_B,38.41824063,-82.35861444,460.19,13953693.9,1251295.674,561.749
6046_B,38.41823873,-82.35863471,460.216,13953693.29,1251289.858,561.774
6047_B,38.41823696,-82.35865498,460.24,13953692.73,1251284.043,561.799
6048_B,38.41823504,-82.35867509,460.259,13953692.12,1251278.271,561.818
6049_B,38.41823318,-82.35869524,460.213,13953691.52,1251272.49,561.771
6050_B,38.41823139,-82.35871523,460.217,13953690.96,1251266.755,561.776
6051_B,38.41822948,-82.35873515,460.198,13953690.35,1251261.039,561.756
6052_B,38.41822761,-82.35875502,460.195,13953689.75,1251255.34,561.753
6053_B,38.41822586,-82.35877482,460.173,13953689.2,1251249.658,561.731
6054_B,38.41822401,-82.3587945,460.203,13953688.61,1251244.011,561.761
6055_B,38.41822216,-82.35881416,460.153,13953688.02,1251238.371,561.711
6056_B,38.41822046,-82.35883372,460.201,13953687.48,1251232.76,561.759
6057_B,38.41821854,-82.35885319,460.212,13953686.86,1251227.172,561.77
6058_B,38.41821672,-82.35887262,460.186,13953686.28,1251221.598,561.744
6059_B,38.41821492,-82.35889205,460.164,13953685.71,1251216.023,561.722
6060_B,38.4182131,-82.35891129,460.203,13953685.13,1251210.501,561.761
6061_B,38.41821138,-82.35893052,460.155,13953684.58,1251204.985,561.713
6062_B,38.41820966,-82.35894965,460.168,13953684.04,1251199.497,561.726
6063_B,38.41820784,-82.3589687,460.174,13953683.46,1251194.03,561.732
6064_B,38.41820612,-82.35898774,460.183,13953682.91,1251188.566,561.74
6065_B,38.41820446,-82.35900671,460.148,13953682.38,1251183.125,561.705
6066_B,38.41820268,-82.35902553,460.18,13953681.82,1251177.726,561.738
6067_B,38.41820093,-82.3590443,460.199,13953681.26,1251172.34,561.757
6068_B,38.41819926,-82.35906304,460.209,13953680.73,1251166.963,561.767
6069_B,38.41819748,-82.35908166,460.227,13953680.16,1251161.621,561.784
6070_B,38.41819571,-82.35910028,460.175,13953679.59,1251156.279,561.733
6071_B,38.41819402,-82.35911879,460.201,13953679.06,1251150.967,561.758
6072_B,38.41819226,-82.3591372,460.217,13953678.5,1251145.684,561.774
6073_B,38.41819057,-82.35915555,460.187,13953677.96,1251140.418,561.745
6074_B,38.41818891,-82.35917388,460.195,13953677.43,1251135.16,561.753
6075_B,38.41818722,-82.35919204,460.188,13953676.89,1251129.949,561.745
6076_B,38.41818559,-82.35921008,460.214,13953676.37,1251124.775,561.771
6077_B,38.41818394,-82.35922804,460.215,13953675.85,1251119.621,561.772
6078_B,38.4181823,-82.35924585,460.16,13953675.33,1251114.51,561.717
6079_B,38.41818071,-82.35926362,460.185,13953674.82,1251109.412,561.742
6080_B,38.41817902,-82.3592812,460.194,13953674.28,1251104.367,561.751
6081_B,38.41817746,-82.35929875,460.181,13953673.79,1251099.332,561.738
6082_B,38.4181759,-82.3593162,460.183,13953673.29,1251094.327,561.74
6083_B,38.4181742,-82.35933355,460.177,13953672.75,1251089.348,561.734
6084_B,38.4181711,-82.35936789,460.158,13953671.76,1251079.494,561.714
6085_B,38.41816796,-82.35940186,460.154,13953670.77,1251069.747,561.711
6086_B,38.41816492,-82.35943549,460.094,13953669.8,1251060.101,561.65
6087_B,38.41816184,-82.35946874,460.084,13953668.82,1251050.56,561.641
