Htn2PPmay09
UTM,17 North,(WGS 84),Geoid03
feet,
PointID,FC,Latitude,Longitude,ElHt,Northing,Easting,Elevation,AntHt,dateTime,DeltaX,DeltaY,DeltaZ,hPrec,vPrec,RMS, MaxPDOP , MaxHDOP , MaxVDOP ,NbrGPSpos,MinSats
1015,LR,+38.43729,-82.33979,444.608,13960553.93,1256787.52,553.518,7.738,5/19/09 9:52,23662.351,6575.908,3985.753,0.029,0.047,0.003,1.784,0.95,1.51,1,12
1016,LR,+38.43730,-82.33974,444.643,13960555.9,1256801.819,553.553,7.738,5/19/09 9:52,23676.319,6579.127,3987.482,0.033,0.052,0.003,1.784,0.95,1.51,1,12
1017,LR,+38.43730,-82.33969,444.634,13960557.86,1256816.112,553.544,7.738,5/19/09 9:52,23690.277,6582.369,3989.172,0.033,0.052,0.003,1.784,0.95,1.51,1,12
1018,LR,+38.43731,-82.33964,444.618,13960559.84,1256830.448,553.528,7.738,5/19/09 9:52,23704.276,6585.64,3990.88,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1019,LR,+38.43732,-82.33959,444.638,13960561.81,1256844.809,553.549,7.738,5/19/09 9:52,23718.303,6588.876,3992.597,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1020,LR,+38.43732,-82.33954,444.664,13960563.77,1256859.202,553.575,7.738,5/19/09 9:52,23732.366,6592.106,3994.31,0.032,0.052,0.003,1.784,0.95,1.51,1,12
1021,LR,+38.43733,-82.33949,444.749,13960565.76,1256873.709,553.659,7.738,5/19/09 9:52,23746.543,6595.325,3996.085,0.033,0.052,0.004,1.784,0.95,1.51,1,12
1022,LR,+38.43733,-82.33944,444.749,13960567.79,1256888.347,553.66,7.738,5/19/09 9:52,23760.837,6598.657,3997.846,0.033,0.052,0.004,1.784,0.95,1.51,1,12
1023,LR,+38.43734,-82.33939,444.813,13960569.82,1256903.036,553.724,7.738,5/19/09 9:52,23775.188,6601.946,3999.644,0.036,0.057,0.004,1.784,0.95,1.51,1,12
1024,LR,+38.43735,-82.33933,444.79,13960571.91,1256917.759,553.701,7.738,5/19/09 9:52,23789.558,6605.341,4001.435,0.034,0.052,0.004,1.646,0.904,1.375,1,13
1025,LR,+38.43735,-82.33928,444.813,13960573.94,1256932.479,553.724,7.738,5/19/09 9:52,23803.937,6608.666,4003.208,0.034,0.052,0.004,1.646,0.904,1.375,1,13
1026,LR,+38.43736,-82.33923,444.83,13960575.97,1256947.141,553.741,7.738,5/19/09 9:52,23818.257,6611.984,4004.974,0.034,0.051,0.004,1.646,0.904,1.375,1,13
1027,LR,+38.43737,-82.33918,444.864,13960578.02,1256961.753,553.775,7.738,5/19/09 9:52,23832.527,6615.299,4006.77,0.034,0.051,0.004,1.646,0.904,1.375,1,13
1028,LR,+38.43737,-82.33913,444.944,13960580.01,1256976.392,553.855,7.738,5/19/09 9:52,23846.835,6618.539,4008.542,0.034,0.051,0.004,1.645,0.904,1.375,1,13
1029,LR,+38.43738,-82.33908,444.928,13960582.08,1256991.218,553.84,7.738,5/19/09 9:52,23861.31,6621.932,4010.322,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1030,LR,+38.43738,-82.33904,444.964,13960583.45,1257001.18,553.875,7.738,5/19/09 9:52,23871.042,6624.164,4011.532,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1031,LR,+38.43739,-82.33901,444.989,13960584.83,1257011.178,553.9,7.738,5/19/09 9:52,23880.809,6626.417,4012.745,0.031,0.047,0.003,1.645,0.904,1.375,1,13
1032,LR,+38.43739,-82.33897,444.996,13960586.2,1257021.166,553.908,7.738,5/19/09 9:52,23890.565,6628.672,4013.935,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1033,LR,+38.43739,-82.33894,445.026,13960587.6,1257031.152,553.938,7.738,5/19/09 9:52,23900.319,6630.926,4015.159,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1034,LR,+38.43740,-82.33890,445.04,13960589.03,1257041.199,553.952,7.738,5/19/09 9:52,23910.127,6633.226,4016.406,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1035,LR,+38.43740,-82.33887,445.067,13960590.47,1257051.275,553.979,7.738,5/19/09 9:52,23919.965,6635.521,4017.663,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1036,LR,+38.43741,-82.33883,445.015,13960591.93,1257061.479,553.927,7.738,5/19/09 9:52,23929.92,6637.912,4018.893,0.029,0.047,0.003,1.784,0.95,1.509,1,12
1037,LR,+38.43741,-82.33880,445.076,13960593.41,1257071.775,553.988,7.738,5/19/09 9:52,23939.976,6640.238,4020.206,0.036,0.057,0.004,1.783,0.95,1.509,1,12
1038,LR,+38.43742,-82.33876,445.084,13960594.96,1257082.156,553.997,7.738,5/19/09 9:52,23950.102,6642.665,4021.549,0.036,0.057,0.004,1.783,0.95,1.509,1,12
1039,LR,+38.43742,-82.33873,445.053,13960596.56,1257092.645,553.966,7.738,5/19/09 9:52,23960.328,6645.162,4022.899,0.029,0.047,0.003,1.783,0.95,1.509,1,12
1040,LR,+38.43743,-82.33869,445.067,13960598.15,1257103.212,553.979,7.738,5/19/09 9:52,23970.637,6647.629,4024.27,0.029,0.047,0.003,1.783,0.95,1.509,1,12
1041,LR,+38.43743,-82.33865,445.09,13960599.78,1257113.829,554.003,7.738,5/19/09 9:52,23980.99,6650.127,4025.689,0.029,0.047,0.003,1.783,0.95,1.509,1,12
1042,LR,+38.43744,-82.33861,445.136,13960601.49,1257124.428,554.049,7.738,5/19/09 9:52,23991.323,6652.647,4027.174,0.03,0.048,0.003,1.783,0.95,1.509,1,12
1043,LR,+38.43744,-82.33858,445.137,13960603.19,1257135.029,554.05,7.738,5/19/09 9:52,24001.652,6655.201,4028.628,0.03,0.048,0.003,1.783,0.95,1.509,1,12
1044,LR,+38.43745,-82.33854,445.139,13960604.99,1257145.637,554.052,7.738,5/19/09 9:52,24011.98,6657.81,4030.156,0.036,0.047,0.004,1.507,0.913,1.2,1,13
1045,LR,+38.43745,-82.33850,445.181,13960606.8,1257156.249,554.094,7.738,5/19/09 9:52,24022.314,6660.402,4031.723,0.036,0.047,0.004,1.507,0.913,1.2,1,13
1046,LR,+38.43746,-82.33847,445.255,13960608.64,1257166.834,554.168,7.738,5/19/09 9:52,24032.622,6662.98,4033.331,0.036,0.047,0.004,1.507,0.913,1.2,1,13
1047,LR,+38.43746,-82.33843,445.259,13960610.54,1257177.412,554.172,7.738,5/19/09 9:52,24042.91,6665.652,4034.946,0.033,0.043,0.004,1.507,0.913,1.2,1,13
1048,LR,+38.43747,-82.33839,445.212,13960612.5,1257187.973,554.125,7.738,5/19/09 9:52,24053.17,6668.391,4036.567,0.033,0.043,0.004,1.507,0.913,1.2,1,13
1049,LR,+38.43748,-82.33836,445.245,13960614.51,1257198.551,554.158,7.738,5/19/09 9:52,24063.451,6671.105,4038.282,0.036,0.047,0.004,1.507,0.912,1.2,1,13
1050,LR,+38.43748,-82.33832,445.239,13960616.56,1257209.119,554.152,7.738,5/19/09 9:52,24073.713,6673.876,4040.008,0.036,0.047,0.004,1.507,0.912,1.2,1,13
1051,LR,+38.43749,-82.33828,445.273,13960618.69,1257219.714,554.186,7.738,5/19/09 9:52,24083.999,6676.665,4041.818,0.036,0.047,0.004,1.507,0.912,1.2,1,13
1052,LR,+38.43749,-82.33825,445.289,13960620.91,1257230.318,554.202,7.738,5/19/09 9:52,24094.282,6679.527,4043.689,0.035,0.047,0.004,1.507,0.912,1.2,1,13
1053,LR,+38.43750,-82.33821,445.309,13960623.19,1257240.911,554.223,7.738,5/19/09 9:52,24104.55,6682.417,4045.607,0.035,0.047,0.004,1.507,0.912,1.2,1,13
1054,LR,+38.43751,-82.33817,445.302,13960625.54,1257251.518,554.216,7.738,5/19/09 9:52,24114.822,6685.376,4047.565,0.038,0.05,0.004,1.507,0.912,1.2,1,13
1055,LR,+38.43752,-82.33814,445.274,13960627.97,1257262.091,554.188,7.738,5/19/09 9:52,24125.05,6688.393,4049.569,0.038,0.05,0.004,1.507,0.912,1.2,1,13
1056,LR,+38.43752,-82.33810,445.306,13960630.46,1257272.662,554.219,7.738,5/19/09 9:52,24135.276,6691.404,4051.661,0.038,0.05,0.004,1.507,0.912,1.2,1,13
1057,LR,+38.43753,-82.33806,445.281,13960633,1257283.246,554.195,7.738,5/19/09 9:52,24145.505,6694.486,4053.752,0.032,0.043,0.004,1.507,0.912,1.2,1,13
1058,LR,+38.43754,-82.33803,445.277,13960635.63,1257293.801,554.191,7.738,5/19/09 9:52,24155.698,6697.611,4055.936,0.032,0.043,0.004,1.507,0.912,1.2,1,13
1059,LR,+38.43755,-82.33799,445.268,13960638.28,1257304.355,554.182,7.738,5/19/09 9:52,24165.887,6700.748,4058.126,0.032,0.043,0.004,1.508,0.912,1.2,1,13
1060,LR,+38.43755,-82.33795,445.27,13960641.04,1257314.847,554.184,7.738,5/19/09 9:52,24176.007,6703.93,4060.404,0.032,0.043,0.004,1.508,0.912,1.2,1,13
1061,LR,+38.43756,-82.33792,445.264,13960643.81,1257325.32,554.178,7.738,5/19/09 9:52,24186.106,6707.129,4062.691,0.032,0.043,0.004,1.508,0.912,1.2,1,13
1062,LR,+38.43757,-82.33788,445.245,13960646.7,1257335.77,554.16,7.738,5/19/09 9:52,24196.168,6710.403,4065.061,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1063,LR,+38.43758,-82.33784,445.28,13960649.66,1257346.157,554.195,7.738,5/19/09 9:52,24206.167,6713.674,4067.52,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1064,LR,+38.43759,-82.33781,445.239,13960652.63,1257356.583,554.153,7.738,5/19/09 9:52,24216.195,6717.016,4069.943,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1065,LR,+38.43760,-82.33777,445.202,13960655.7,1257366.991,554.117,7.738,5/19/09 9:52,24226.197,6720.408,4072.439,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1066,LR,+38.43760,-82.33773,445.221,13960658.81,1257377.395,554.136,7.738,5/19/09 9:52,24236.196,6723.786,4075.008,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1067,LR,+38.43761,-82.33770,445.209,13960662,1257387.796,554.124,7.738,5/19/09 9:52,24246.182,6727.234,4077.617,0.035,0.055,0.004,1.783,0.95,1.509,1,12
1068,LR,+38.43762,-82.33766,445.22,13960665.24,1257398.152,554.135,7.738,5/19/09 9:52,24256.12,6730.691,4080.282,0.035,0.055,0.004,1.783,0.95,1.509,1,12
1069,LR,+38.43763,-82.33763,445.19,13960668.58,1257408.488,554.105,7.738,5/19/09 9:52,24266.025,6734.237,4082.998,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1070,LR,+38.43764,-82.33759,445.143,13960671.96,1257418.731,554.058,7.738,5/19/09 9:52,24275.832,6737.811,4085.736,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1071,LR,+38.43765,-82.33756,445.131,13960675.38,1257428.886,554.046,7.738,5/19/09 9:52,24285.552,6741.365,4088.523,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1072,LR,+38.43766,-82.33752,445.12,13960678.85,1257438.998,554.035,7.738,5/19/09 9:52,24295.224,6744.939,4091.344,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1073,LR,+38.43767,-82.33749,445.063,13960682.32,1257448.957,553.978,7.738,5/19/09 9:52,24304.739,6748.537,4094.146,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1074,LR,+38.43768,-82.33745,445.047,13960685.83,1257458.835,553.963,7.738,5/19/09 9:52,24314.175,6752.111,4096.998,0.031,0.05,0.003,1.783,0.95,1.509,1,12
1075,LR,+38.43769,-82.33742,445.005,13960689.42,1257468.644,553.92,7.738,5/19/09 9:52,24323.533,6755.744,4099.894,0.032,0.051,0.003,1.783,0.95,1.509,1,12
1076,LR,+38.43770,-82.33738,444.992,13960693.05,1257478.41,553.908,7.738,5/19/09 9:52,24332.847,6759.374,4102.841,0.032,0.051,0.003,1.783,0.95,1.509,1,12
1077,LR,+38.43771,-82.33735,444.924,13960696.76,1257488.123,553.84,7.738,5/19/09 9:52,24342.095,6763.086,4105.815,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1078,LR,+38.43772,-82.33732,444.996,13960700.49,1257497.898,553.912,7.738,5/19/09 9:52,24351.418,6766.709,4108.888,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1079,LR,+38.43773,-82.33728,444.735,13960704.43,1257507.573,553.651,7.738,5/19/09 9:52,24360.585,6770.712,4111.927,0.028,0.045,0.003,1.783,0.95,1.509,1,12
1080,LR,+38.43775,-82.33725,444.662,13960708.31,1257517.325,553.578,7.738,5/19/09 9:52,24369.855,6774.542,4115.034,0.029,0.046,0.003,1.783,0.95,1.509,1,12
1081,LR,+38.43776,-82.33721,444.891,13960712.2,1257527.21,553.807,7.738,5/19/09 9:52,24379.286,6778.157,4118.333,0.029,0.046,0.003,1.783,0.95,1.509,1,12
1082,LR,+38.43777,-82.33718,445.005,13960716.05,1257537.162,553.921,7.738,5/19/09 9:52,24388.776,6781.849,4121.532,0.037,0.056,0.004,1.836,1.015,1.53,1,11
1083,LR,+38.43778,-82.33715,444.812,13960720.32,1257546.701,553.728,7.738,5/19/09 9:52,24397.784,6785.984,4124.87,0.037,0.056,0.004,1.836,1.015,1.53,1,11
1084,LR,+38.43779,-82.33711,444.491,13960724.85,1257556.073,553.407,7.738,5/19/09 9:52,24406.589,6790.346,4128.323,0.037,0.056,0.004,1.836,1.015,1.53,1,11
1085,LR,+38.43780,-82.33708,444.412,13960729.13,1257565.732,553.329,7.738,5/19/09 9:52,24415.726,6794.413,4131.739,0.043,0.055,0.003,2.296,1.419,1.805,1,9
1086,LR,+38.43782,-82.33705,444.347,13960733.51,1257575.227,553.263,7.738,5/19/09 9:52,24424.693,6798.504,4135.236,0.043,0.055,0.003,2.296,1.419,1.805,1,9
1087,LR,+38.43783,-82.33701,444.328,13960737.74,1257584.93,553.244,7.738,5/19/09 9:52,24433.886,6802.499,4138.649,0.044,0.055,0.003,2.296,1.419,1.805,1,9
1088,LR,+38.43784,-82.33698,444.229,13960742.21,1257594.53,553.146,7.738,5/19/09 9:52,24442.945,6806.688,4142.199,0.044,0.055,0.003,2.296,1.419,1.805,1,9
1089,LR,+38.43785,-82.33695,444.223,13960746.62,1257604.103,553.14,7.738,5/19/09 9:52,24451.993,6810.759,4145.754,0.044,0.055,0.003,2.296,1.419,1.805,1,9
1090,LR,+38.43787,-82.33691,444.148,13960751.09,1257613.655,553.065,7.738,5/19/09 9:52,24461.006,6814.925,4149.321,0.04,0.056,0.004,1.962,1.133,1.601,1,10
1091,LR,+38.43788,-82.33688,444.058,13960755.59,1257623.163,552.975,7.738,5/19/09 9:52,24469.973,6819.111,4152.896,0.04,0.056,0.004,1.962,1.133,1.601,1,10
1092,LR,+38.43789,-82.33685,444.129,13960760.08,1257632.734,553.046,7.738,5/19/09 9:52,24479.018,6823.18,4156.571,0.045,0.057,0.003,2.296,1.42,1.804,1,9
1093,LR,+38.43791,-82.33682,444.06,13960764.7,1257642.151,552.977,7.738,5/19/09 9:52,24487.885,6827.408,4160.25,0.045,0.057,0.003,2.296,1.42,1.804,1,9
1094,LR,+38.43792,-82.33678,444.241,13960769.01,1257651.796,553.158,7.738,5/19/09 9:52,24497.033,6831.287,4163.848,0.045,0.057,0.003,2.296,1.42,1.804,1,9
