brb2rusABCD,Y:\Documents\Engineering\Data\LOR\CSX_KanawhaSub\brb2rusABCD,
UTM,17 North,NAD 1983 (Conus) CORS96,GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,covXX,covYY,covZZ,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1041_B,RCL,+38.410692239,-82.263753106,479.888,13950559.379,1278428.379,581.600,6.995,09:00:39 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1042_B,RCL,+38.410682669,-82.263766045,479.882,13950555.945,1278424.624,581.593,6.995,09:00:40 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1043_B,RCL,+38.410673174,-82.263779044,479.878,13950552.540,1278420.853,581.590,6.995,09:00:40 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1044_B,RCL,+38.410663669,-82.263792018,479.889,13950549.130,1278417.090,581.600,6.995,09:00:40 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1045_B,RCL,+38.410653983,-82.263805090,479.882,13950545.655,1278413.297,581.594,6.995,09:00:40 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1046_B,RCL,+38.410644469,-82.263818162,479.866,13950542.243,1278409.505,581.578,6.995,09:00:40 5 Feb 2010,0.000,0.000,0.000,0.038,0.055,0.005,,,,1,14
1047_B,RCL,+38.410634784,-82.263831322,479.870,13950538.768,1278405.687,581.581,6.995,09:00:41 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1048_B,RCL,+38.410625223,-82.263844472,479.830,13950535.339,1278401.872,581.541,6.995,09:00:41 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1049_B,RCL,+38.410615630,-82.263857713,479.858,13950531.899,1278398.032,581.569,6.995,09:00:41 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1050_B,RCL,+38.410606083,-82.263870931,479.846,13950528.475,1278394.198,581.557,6.995,09:00:41 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1051_B,RCL,+38.410596357,-82.263884257,479.844,13950524.987,1278390.332,581.554,6.995,09:00:41 5 Feb 2010,0.000,0.000,0.000,0.036,0.052,0.005,,,,1,14
1052_B,RCL,+38.410586768,-82.263897557,479.837,13950521.548,1278386.474,581.548,6.995,09:00:42 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
1053_B,RCL,+38.410577133,-82.263910934,479.860,13950518.093,1278382.594,581.571,6.995,09:00:42 5 Feb 2010,0.000,0.000,0.000,0.033,0.048,0.004,,,,1,14
