Brb2Rus012010,Y:\Documents\Engineering\Data\LOR\Brb2Rus012010,
UTM,17 North,(WGS 84),GEOID03 (Conus)
coord units ft, elevation units ft, distance units ft
PointID,FeatureCode,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation,AntennaHeight,StartTime,0,0,0,HorizontalPrecision,VerticalPrecision,RMS,MaxPDOP,MaxHDOP,MaxVDOP,NbrGPSpos,MinSatellites
1050,RailT2,+38.411889332,-82.290411743,481.195,13951103.701,1270797.016,582.875,6.995,10:47:09 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1051,RailT2,+38.411898185,-82.290426779,481.156,13951106.984,1270792.754,582.836,6.995,10:47:10 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1052,RailT2,+38.411907499,-82.290442356,481.094,13951110.437,1270788.340,582.774,6.995,10:47:12 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1053,RailT2,+38.411916105,-82.290456986,481.053,13951113.629,1270784.193,582.733,6.995,10:47:14 20 Jan 2010,0,0,0,0.026,0.039,0.003,,,,1,13
1054,RailT2,+38.411924637,-82.290471471,481.073,13951116.793,1270780.087,582.753,6.995,10:47:15 20 Jan 2010,0,0,0,0.021,0.031,0.003,,,,1,13
1055,RailT2,+38.412030611,-82.290643497,480.928,13951156.064,1270731.351,582.608,6.995,10:47:26 20 Jan 2010,0,0,0,0.024,0.035,0.003,,,,1,13
1056,RailT2,+38.412040673,-82.290659380,480.940,13951159.791,1270726.853,582.620,6.995,10:48:26 20 Jan 2010,0,0,0,0.021,0.033,0.003,,,,1,12
1057,RailT2,+38.412049742,-82.290673657,480.881,13951163.150,1270722.809,582.561,6.995,10:48:28 20 Jan 2010,0,0,0,0.028,0.040,0.003,,,,1,13
1058,RailT2,+38.412059125,-82.290688415,480.867,13951166.625,1270718.630,582.547,6.995,10:48:29 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1059,RailT2,+38.412067915,-82.290702119,480.859,13951169.880,1270714.749,582.539,6.995,10:48:30 20 Jan 2010,0,0,0,0.025,0.037,0.003,,,,1,13
1060,RailT2,+38.412076859,-82.290716170,480.854,13951173.193,1270710.770,582.534,6.995,10:48:31 20 Jan 2010,0,0,0,0.025,0.037,0.003,,,,1,13
1061,RailT2,+38.412086035,-82.290730546,480.789,13951176.591,1270706.699,582.469,6.995,10:48:32 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1062,RailT2,+38.412095518,-82.290745149,480.775,13951180.102,1270702.564,582.455,6.995,10:48:33 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1063,RailT2,+38.412105076,-82.290760102,480.751,13951183.642,1270698.330,582.431,6.995,10:48:34 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1064,RailT2,+38.412113811,-82.290773784,480.683,13951186.877,1270694.455,582.363,6.995,10:48:35 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1065,RailT2,+38.412122790,-82.290787259,480.734,13951190.200,1270690.641,582.414,6.995,10:48:35 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1066,RailT2,+38.412132691,-82.290802251,480.703,13951193.864,1270686.397,582.384,6.995,10:48:36 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1067,RailT2,+38.412142479,-82.290817095,480.690,13951197.487,1270682.195,582.370,6.995,10:48:37 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1068,RailT2,+38.412152263,-82.290832027,480.653,13951201.109,1270677.967,582.334,6.995,10:48:38 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1069,RailT2,+38.412161213,-82.290845567,480.590,13951204.422,1270674.135,582.271,6.995,10:48:39 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1070,RailT2,+38.412170519,-82.290859776,480.580,13951207.867,1270670.112,582.260,6.995,10:48:41 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1071,RailT2,+38.412179665,-82.290873411,480.536,13951211.251,1270666.253,582.216,6.995,10:48:45 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1072,RailT2,+38.412188826,-82.290887018,480.544,13951214.641,1270662.402,582.224,6.995,10:48:47 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1073,RailT2,+38.412198333,-82.290901155,480.551,13951218.159,1270658.401,582.231,6.995,10:48:49 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1074,RailT2,+38.412207740,-82.290915116,480.474,13951221.639,1270654.450,582.154,6.995,10:48:51 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1075,RailT2,+38.412217590,-82.290929842,480.433,13951225.285,1270650.282,582.113,6.995,10:48:52 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1076,RailT2,+38.412226707,-82.290943193,480.436,13951228.657,1270646.504,582.116,6.995,10:48:54 20 Jan 2010,0,0,0,0.028,0.040,0.003,,,,1,13
1077,RailT2,+38.412236234,-82.290957346,480.444,13951232.182,1270642.498,582.124,6.995,10:48:55 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1078,RailT2,+38.412245494,-82.290971116,480.416,13951235.609,1270638.601,582.097,6.995,10:48:56 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1079,RailT2,+38.412255251,-82.290985432,480.395,13951239.218,1270634.550,582.075,6.995,10:48:57 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1080,RailT2,+38.412265353,-82.291000092,480.407,13951242.955,1270630.402,582.087,6.995,10:48:58 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1081,RailT2,+38.412275173,-82.291014446,480.395,13951246.588,1270626.341,582.075,6.995,10:49:00 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1082,RailT2,+38.412284304,-82.291027514,480.386,13951249.965,1270622.644,582.067,6.995,10:49:37 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1083,RailT2,+38.412293694,-82.291040940,480.372,13951253.437,1270618.846,582.052,6.995,10:49:40 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1084,RailT2,+38.412303315,-82.291054936,480.357,13951256.995,1270614.886,582.038,6.995,10:49:42 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1085,RailT2,+38.412312571,-82.291068223,480.371,13951260.419,1270611.127,582.051,6.995,10:49:43 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1086,RailT2,+38.412322742,-82.291082855,480.309,13951264.180,1270606.988,581.989,6.995,10:49:45 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
1087,RailT2,+38.412333517,-82.291098051,480.323,13951268.164,1270602.690,582.003,6.995,10:49:46 20 Jan 2010,0,0,0,0.025,0.036,0.003,,,,1,13
1088,RailT2,+38.412343518,-82.291112196,480.286,13951271.862,1270598.689,581.966,6.995,10:49:47 20 Jan 2010,0,0,0,0.028,0.040,0.004,,,,1,13
1089,RailT2,+38.412353735,-82.291126571,480.271,13951275.639,1270594.624,581.952,6.995,10:49:48 20 Jan 2010,0,0,0,0.022,0.033,0.003,,,,1,13
